Situacao;Codigo favorecido;Favorecido;Descricao da fonte de recursos;Objeto;Valor inicial do instrumento;Valor do acrescimo ou reducao;Valor atualizado do instrumento;Valor pago;Descricao do orgao executor;Descricao da unidade orcamentaria executora;Descricao de programa;Descricao da modalidade de aplicacao;Descricao da natureza da despesa
ATIVO;3,14E+13;JARDIM ESCOLA ERNESTO FAGUNDES VARELA;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERENCIA DE RECURSOS DO PNAE/FNDE/MEC;14980;0;14980;14980;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;4,21E+13;CASA SAO ROQUE;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERÊNCIA DE RECURSOS DO PNAE/FNDE/MEC.;32956;0;32956;32956;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;1,49E+11;ESCOLA COMUNITARIA DO CANTAGALO;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERÊNCIA DE RECURSOS DO PNAE/FNDE/MEC;15408;0;15408;15408;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;4,84E+12;ASSOCIACAO DE EDUCACAO INFANTIL FLORESCER;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERÊNCIA DE RECURSOS DO PNAE/FNDE/MEC.;18618;0;18618;18618;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;2,93E+13;LAR PAULO DE TARSO;TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR;TRANSFERÊNCIA DE RECURSOS DO PNAE/FNDE/MEC.;26750;0;26750;26750;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO DAS OPERACOES ESPECIAIS;TRANSFERENCIAS A INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;CONTRIBUICOES
ATIVO;3,08E+12;AGASSI E BASSANELLI ALTERNATIVA ARTES GRAFICAS E EDITORA LTDA;ORDINARIOS NAO VINCULADOS;PRESTAÇÃO DE SERVIÇOS DE SERVIÇOS GRÁFICOS DE IMPRESSÃO DE FOLDER PARA CAMPANHAS EDUCATIVAS CONFORME AS ESPECIFICAÇÕES CONSTANTES DO TERMO DE REFERÊNCIA.;90000;0;90000;0;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GABINETE DA SECRETARIA MUNICIPAL DE EDUCAÇÃO;GESTAO ADMINISTRATIVA - CAPITAL HUMANO NA FORMACAO DO CARIOCA;APLICACOES DIRETAS;SERVICOS GRAFICOS EM GERAL POR PESSOA JURIDICA
ATIVO;4,21E+13;FERLIM SERVICOS TECNICOS LTDA.;ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;REFERENTE À PRESTAÇÃO DE SERVIÇOS DE LAVANDERIA HOSPITALAR (HIGIENIZAÇÃO DE ROUPA HOSPITALAR. COM COLETA. LAVAGEM. DESINFECÇÃO. DISTRIBUIÇÃO E RECUPERAÇÃO DE ENXOVAL HOSPITALAR);2989199;-63600;2925599;539253.08;HOSPITAL MUNICIPAL SOUZA AGUIAR;HOSPITAL MUNICIPAL SOUZA AGUIAR - COORDENADORIA GERAL DE EMERGÊNCIA DA AP 1;ATENCAO HOSPITALAR;APLICACOES DIRETAS;SERV.LAVAG..HIG..DESINF..COLETA.GUARDA E DIST DE ROUPAS HOSP.E SERV.COMPL.PREST.PES.JURID.
ATIVO;5,33E+12;UB BRASIL EVENTOS LTDA.;HONORARIOS ADVOCATICIOS - EXERCICIOS ANTERIORES;PRESTAÇÃO DE SERVIÇOS DE BUFFET PARA FORNECIMENTO DE COFFEE BREAK/LANCHE/COCKTAIL PARA ALUNOS-RESIDENTES DO PROGRAMA RESIDÊNCIA JURÍDICA E PARTICIPANTES DOS EVENTOS PROMOVIDOS PELA PROCURAODORIA GERAL DO MUNICÍPIO;137741.2;0;137741.2;0;FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM;FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM;GESTAO ADMINISTRATIVA - GOVERNANCA PARA OS CIDADAOS;APLICACOES DIRETAS;SERVICOS PARA FINS EDUCATIVOS. CULTURAIS E SOCIAIS. INCLUSIVE DIVULGACAO
ATIVO;4,21E+13;COMPANHIA MUNICIPAL DE LIMPEZA URBANA;ORDINARIOS NAO VINCULADOS;PRESTAÇÃO DE SERVIÇOS DE LIMPEZA INTERNA DE AMBIENTES E GESTÃO DE RESÍDUOS SÓLIDOS;754839.48;0;754839.48;282684.12;SECRETARIA MUNICIPAL DE URBANISMO;GABINETE DO SECRETÁRIO MUNICIPAL DE URBANISMO;GESTAO ADMINISTRATIVA - TERRITORIO DESCENTRALIZADO. INCLUSIVO E CONECTADO;APLIC. DIRETA DECOR. DE OPER. ENTRE ORG.. FUNDOS E ENTID. INTEG. DO ORC. FISC. E SEG. SOC.;SERVICO DE LIMPEZA. CONSERVACAO. HIGIENE E COPA POR PESSOA JURIDICA
ATIVO;4,04E+13;CLARO S A;ORDINARIOS NAO VINCULADOS;SERVIÇO DE TRANSPORTE DE DADOS SRTT PARA ATENDER AS 14 UNIDADES DESCENTRALIZADAS DA SMU;92221.86;123566.28;215788.14;90800.15;SECRETARIA MUNICIPAL DE URBANISMO;GABINETE DO SECRETÁRIO MUNICIPAL DE URBANISMO;GESTAO ADMINISTRATIVA - TERRITORIO DESCENTRALIZADO. INCLUSIVO E CONECTADO;APLICACOES DIRETAS;DESPESAS DE TELEPROCESSAMENTO
