Descricao_Acao;Descricao_Elemento;Descricao_item_Despesa;Orcamento_Atualizado;Empenhado;Liquidado;Pago;Pago_Restos_Pagar
CENTRAL UNICA DE ATENDIMENTO - 1746;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;12666092.91;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA                                              ;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA                                              ;20383.51;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;MAQUINAS E EQUIPAMENTOS DE RADIO. TELECOMUNICACOES.GRAVACAO.REPRODUCAO DE SOM E/OU IMAGEM ;0;0;0;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. DIRETA - GOVERNANCA PARA O;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. DIRETA - GOVERNANCA PARA O;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;1000;0;0;0;0
SUBVENCAO SOCIAL A ASSOCIACAO BRASILEIRA BENEFICENTE DE REABILITACAO - ABBR - EL 3481/19;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
MANUTENCAO DE SEDES ADMINISTRATIVAS DA PREFEITURA;LOCACAO DE MAO-DE-OBRA                                                                    ;LOCACAO DE MAO-DE-OBRA                                                                    ;3363237.82;0;0;0;0
MEMORIA DA CIDADE DO RIO DE JANEIRO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS ADMINISTRATIVOS TECNICOS CIENTIFICOSE DE PESQUISA DE CARATER EVENTUAL            ;0;0;0;0;14184.21
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;MATERIAL DE CONSUMO                                                                       ;0;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;ASSINATURAS E PUBLICACOES                                                                 ;0;11070.03;9035.51;8056.01;8847.76
ASSISTENCIA E EDUCACAO PARA O CONSUMO;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA                                              ;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA                                              ;0;0;0;0;0
