DESC_ORGAO;DESC_RUBRICA;RECEITA_PREVISTA;RECEITA_ARRECADADA;RECEITA_ARRECADADA_JAN;RECEITA_ARRECADADA_FEV;RECEITA_ARRECADADA_MAR;RECEITA_ARRECADADA_ABR;RECEITA_ARRECADADA_MAI;RECEITA_ARRECADADA_JUN;RECEITA_ARRECADADA_JUL;RECEITA_ARRECADADA_AGO;RECEITA_ARRECADADA_SET;RECEITA_ARRECADADA_OUT
Prefeitura                                                                                                                                                                                                                                                ;TAXA FISCALIZACAO VIGILANCIA SANITARIA - FMS - DIVIDA ATIVA - MULTAS E JUROS;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE LICENC. E FISCAL. DE OBRAS REAL. EM LOGRAD. PUBLICOS;3664249;2970822.95;331504.79;298813.02;308489.23;188983.69;297777.01;252246.86;283581.5;311999.1;436100.34;261327.41
Prefeitura                                                                                                                                                                                                                                                ;TAXA DE USO DE AREA PUBLICA;7922124;7020795.89;996820.67;201588.35;366156.38;874487.46;323097.58;1524883;1053636.51;285771.03;341856.75;1052498.16
Prefeitura                                                                                                                                                                                                                                                ;COBRANCA P/ UTILIZACAO DE DUTOVIAS TRANSCARIOCA - DEC. 39.016/2014;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;RECEITAS DE AREAS DE ESTACIONAMENTO - AREA FECHADA - F/SPA;100000000;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;OUTRAS - ADMINISTRACAO DIRETA;0;1158843.28;121736.68;111581.5;106450.83;118268.96;124202.25;107758.92;131205.73;116750.29;108403.75;112484.37
Prefeitura                                                                                                                                                                                                                                                ;PROGRAMA PROINFANCIA - INFRAESTRUTURA ESCOLAR - SME;1782416;114807.64;13233.91;11259.12;10604.22;11781.52;12372.54;10574.8;12656.62;11252.55;10445.09;10627.27
Prefeitura                                                                                                                                                                                                                                                ;RECEITA DE REMUNERACAO DE DEPOSITOS BANCARIOS DE RECURSOS VINCULADOS - CONTRIB. INTERV. DO;253434;83200.81;9194.23;7124.71;5638.46;8169.54;8891.04;6829.92;9485.34;9287.99;8592.11;9987.47
Prefeitura                                                                                                                                                                                                                                                ;RECEITA DE REMUNERACAO DE DEPOSITOS BANCARIOS DE RECURSOS VINCULADOS - ROYALTIES;2964737;1309214.27;93678.79;121749.78;144116.06;149675.09;134102.84;147492.21;141477.69;130303.79;142025;104593.02
Prefeitura                                                                                                                                                                                                                                                ;SERVICOS DE INSCRICAO EM CONCURSOS PUBLICOS - DREM;0;0;0;0;0;0;0;0;0;0;0;0
Prefeitura                                                                                                                                                                                                                                                ;DEDUCAO DA COTA-PARTE DO FUNDO DE PARTICIPACAO DOS MUNICIPIOS;-60255600;-56497909.5;-6705933.2;-7366066.11;-5515291.1;-5380773.5;-6905285.23;-5439278;-4473614.71;-5429373.22;-4832942.88;-4449351.55
